issue_id,category,module,severity,title,phenomenon,impact,reproduction,evidence,code,cause,recommendation,effort,dependencies,status,blocks_production,vehicle_safety
PERF-001,性能,CAN 接收,P1,目标约 1045fps 时实际仅处理 345.9fps并形成长尾积压,60 秒后模拟器停止，日志继续增长且在线状态延迟。,实时性和安全超时失真，长时间运行会耗尽资源。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/stress_1000fps_60s_summary.json; evidence/tests/post_stress_backlog_summary.txt,backend/app/can_gateway/udp_gateway.py:49-53; backend/app/services/lifecycle.py:16-28,实现停留在演示/最小闭环，缺少生产约束。,引入有界队列、批处理日志、主题节流和负载丢弃策略。,L,无,OPEN,是,是
API-001,API/WebSocket,实时推送,P1,每帧顺序广播 7 个大 topic，前端每次 timeseries 又发 HTTP,"3 秒收到 5,292 消息；7 个主要 topic 各 744 条。",网络/CPU 被放大，导致积压与页面抖动。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/api/websocket_probe.json,backend/app/services/lifecycle.py:16-28; desktop/src/stores/signals.ts:75-80,实现停留在演示/最小闭环，缺少生产约束。,按规范节流：raw 可选、signals 10Hz、statistics 1Hz；timeseries 直接消费 payload。,M,无,OPEN,是,否
DB-001,数据,持久化,P1,EOL/CAN/信号/告警/报告核心表均为 0 行,运行五个 profile 和控制联调后，只有 operator_actions/config_history 有数据。,历史追溯、报告关联和审计结论不可依赖。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/database_audit.json,backend/app/eol/engine.py; backend/app/services/lifecycle.py; backend/app/reports/generator.py,实现停留在演示/最小闭环，缺少生产约束。,建立 session UoW，落库 steps/assertions/frames/signals/alarms/reports，并增加回滚测试。,L,无,OPEN,是,否
REPORT-001,报告,生成器,P1,生成的 DOCX 中文乱码，PDF 中文方块且仅含会话/结果,PASS/FAIL 文件可打开但内容不可用，且缺 software/DBC/config 版本。,报告无法交付生产或审计。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/report_validation.json; evidence/screenshots/current/generated_normal_pass_report_page1.png,backend/app/reports/generator.py:10-39,实现停留在演示/最小闭环，缺少生产约束。,统一 UTF-8 源文本和嵌入中文字体，按模板写完整步骤/断言/版本并回归渲染。,L,无,OPEN,是,否
DEPLOY-001,部署,Electron,P1,electron:build 只执行 Vite，main.cjs 生产仍加载 5173且不拉起后端,没有 installer、Python runtime、dist load、健康等待或进程托管。,离线工控机无法按生产方式启动。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/commands/electron_runtime_probe.json; evidence/tests/electron_build_exit.txt,desktop/package.json:7-13; desktop/electron/main.cjs:21,实现停留在演示/最小闭环，缺少生产约束。,引入 electron-builder/forge，生产 loadFile(dist)，打包/拉起后端并管理生命周期。,L,无,OPEN,是,否
SIM-001,仿真,开发配置,P1,默认发送地址是 [REDACTED_CAN1_GATEWAY]/99:1234，与仿真器 127.0.0.1:12341/2 不匹配,接收绑定失败会回退 loopback，但发送地址不会同步回退。,默认开发命令无法完成双向控制联调，且可能向真实网段发包。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/simulation/loopback_stack_startup.txt; evidence/simulation/channels.dev.audit.yaml,"configs/channels.yaml; backend/app/can_gateway/udp_gateway.py:29-44,59-65",实现停留在演示/最小闭环，缺少生产约束。,明确 dev/production profile，仿真启动必须显式加载 loopback 配置并阻止生产 IP。,M,无,OPEN,是,是
DB-002,日志,原始 CAN,P1,所有帧同步追加到单个 raw_can_current.csv，无轮转/容量上限,审计时文件约 119MB；每帧 open/write/close。,高帧率下阻塞事件循环并可能耗尽磁盘。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/database_audit.json,backend/app/storage/raw_log_writer.py:8-16,实现停留在演示/最小闭环，缺少生产约束。,异步批量 writer、按会话/大小轮转、压缩、保留策略和磁盘阈值。,M,无,OPEN,是,否
DBC-001,协议,USR-CAN115,P2,UDP 半包跨数据报拼接且没有重同步,5 字节截断包与下一完整包拼出 parse_status=ok 的伪 0x121，真实 0x77 丢失。,错误帧可能进入信号与告警逻辑。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/protocol_probe.json,backend/app/can_gateway/usr_can115.py:57-64; backend/app/can_gateway/udp_gateway.py:47-53,实现停留在演示/最小闭环，缺少生产约束。,UDP 按 datagram 校验 13*n；非法长度整包拒绝。TCP 才使用带同步策略的 stream buffer。,M,无,OPEN,是,是
CAN-001,CAN,统计,P2,fps 使用启动以来累计平均而非滚动窗口,压力结束显示 34.7/66.4fps，而 60 秒区间处理总量约 345.9fps。,UI、超时和容量判断失真。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/stress_1000fps_60s_summary.json,backend/app/can_gateway/statistics.py:35-49,实现停留在演示/最小闭环，缺少生产约束。,使用 1s/5s 滚动窗口和单调时钟。,S,无,OPEN,否,否
CAN-002,CAN,缓存,P2,"recent_frames 仅 2,000 帧，低于资料包每通道至少 10,000 建议",约 1000fps 时只保留约 2 秒且两通道共享。,诊断回看与短时统计不足。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/protocol_probe.json,backend/app/can_gateway/manager.py:12,实现停留在演示/最小闭环，缺少生产约束。,按通道有界环形缓存，容量配置化并监控使用率。,S,无,OPEN,否,否
DBC-002,DBC,0x102,P2,运行解码只产生总 bitmap，监控详情中的保护位为固定数据,protocol probe 只得到 BMS_Protect_Bitmap=32769。,实际单项保护状态可能与 UI 不一致。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/protocol_probe.json,backend/app/dbc/service.py:89-91; backend/app/api/can.py:256-267,实现停留在演示/最小闭环，缺少生产约束。,按 override 显式输出 unsigned bool/bitmap 信号，并用当前帧值构造详情。,M,无,OPEN,否,是
API-002,API,Dashboard,P2,大量固定数据返回 200 且未统一标识 Mock,统计、历史、曲线等可看似真实；只有部分 dashboard 有 mock 字段。,操作员可能把演示数据当生产事实。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/api/api_probe_summary.json,"backend/app/api/can.py:13-31,178-212; backend/app/api/eol.py:18-133",实现停留在演示/最小闭环，缺少生产约束。,字段级 source/quality/mock 元数据；生产模式禁止无标识 fallback。,M,无,OPEN,否,是
API-003,API,错误处理,P2,错误响应结构和 trace_id 不统一,HTTPException 使用 detail，通用 handler 使用平铺结构且 trace_id 可空。,前端无法稳定展示原因，审计链路断裂。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/api/security_probe.json,backend/app/main.py:15-18; backend/app/api/config.py:472-475,实现停留在演示/最小闭环，缺少生产约束。,统一异常基类、中间件生成 trace_id、结构化错误和日志关联。,M,无,OPEN,否,否
API-004,API/CAN,协议配置,P2,接口允许 TCP 但运行时不存在 TCP gateway,保存 TCP 后仍由 UdpCanGateway 运行。,配置与实际行为不一致。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/api/get__config.json,backend/app/api/config.py:319-344; backend/app/can_gateway/manager.py:13,实现停留在演示/最小闭环，缺少生产约束。,实现 TcpCanGateway 或拒绝 TCP 并明确未支持。,M,无,OPEN,否,否
API-005,API/权限,报告删除,P2,前端 DELETE 不发送 x-role，后端又把不存在 ID 回退为 Mock 报告,正常 UI 删除恒 403；伪造 admin 对不存在 ID 返回成功。,用户流程不可用且接口语义危险。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/api/security_probe.json,"desktop/src/api/http.ts:21-25; backend/app/api/reports.py:125-126,261-273",实现停留在演示/最小闭环，缺少生产约束。,依赖认证上下文；不存在返回 404；前端不自行声明角色。,M,无,OPEN,否,否
UI-001,UI,响应式,P2,1366×768 多页裁切或需页面滚动,overview/network/curve/manual/auto/alarm 裁切，report/history/settings 使用页面内部滚动。,兼容分辨率下关键按钮和状态不可见。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/screenshots/current/ui_runtime_metrics.json,desktop/src/pages/*.vue; desktop/src/components/layout/AppShell.vue:22,实现停留在演示/最小闭环，缺少生产约束。,建立 1366 专用压缩网格，页级 overflow hidden，仅表格内部滚动。,L,无,OPEN,否,否
UI-002,UI,顶部状态,P2,页面主体收到实时数据时顶部 CAN1/CAN2 仍可显示 offline,新开页截图中状态栏与 CAN 表/仿真状态不一致。,操作员无法判断真实链路。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/screenshots/current/03_can_monitor_1920x1080.png,desktop/src/stores/appStatus.ts:18-58; desktop/src/components/layout/TopStatusBar.vue:41-47,实现停留在演示/最小闭环，缺少生产约束。,以单一 channel store 为真源，先加载状态并定义 loading，不用 fallback offline 覆盖。,M,无,OPEN,否,是
UI-003,UI,实时曲线,P2,显示 0/256 已选择但六图仍有所有曲线,checkbox 与 series 没有真实绑定。,用户无法控制监控负载和曲线内容。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/screenshots/current/05_realtime_curve_1920x1080.png,desktop/src/pages/RealtimeCurvePage.vue,实现停留在演示/最小闭环，缺少生产约束。,按 selected signal 过滤 series，保存选择并增加交互测试。,M,无,OPEN,否,否
UI-004,UI,手动控制,P2,存在 4 个白底原生输入控件,运行时 computed style 审计检出。,破坏工业主题并降低暗环境可读性。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/screenshots/current/ui_runtime_metrics.json,desktop/src/pages/ManualControlPage.vue,实现停留在演示/最小闭环，缺少生产约束。,统一 IndustrialInput/Range 控件和 focus/disabled 样式。,S,无,OPEN,否,否
PERF-002,前端,WebSocket 生命周期,P2,WsClient 无 close/error/reconnect/off，页面 handler 不注销,路由切换会累积 callbacks；connect 可重复创建 socket。,长时间页面切换后重复请求和内存增长。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/commands/search_websocket.txt,desktop/src/api/websocket.ts:1-15; desktop/src/pages/AutoTestPage.vue:333-343,实现停留在演示/最小闭环，缺少生产约束。,实现单例连接状态机、指数退避、unsubscribe/off 和组件 scope cleanup。,M,无,OPEN,否,否
DB-003,日志,解码信号,P2,SignalLogWriter.write 是空函数,无解析后信号 CSV/Parquet 落盘。,历史曲线和追溯数据缺失。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/database_audit.json,backend/app/storage/signal_log_writer.py:1-3,实现停留在演示/最小闭环，缺少生产约束。,实现批量信号日志和质量/会话字段。,M,无,OPEN,是,否
DB-004,数据库,事务,P2,每条 execute 立即 commit，无会话事务/回滚；shutdown 未 close 数据库,步骤、断言和报告无法原子保存。,部分失败可留下不一致记录并泄漏句柄。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/database_audit.json,backend/app/storage/database.py:8-31; backend/app/services/lifecycle.py:48-52,实现停留在演示/最小闭环，缺少生产约束。,增加 transaction context、FK 检查、busy retry 和 shutdown close。,M,无,OPEN,否,否
TEST-001,测试,仿真器,P2,从项目根执行 pytest simulator/tests 收集失败,ModuleNotFoundError: can_frame_simulator；切入 simulator 目录后 1 条通过。,README 推荐命令不可复现。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/simulator_pytest.txt,simulator/tests/test_profiles.py; simulator/pyproject.toml,实现停留在演示/最小闭环，缺少生产约束。,安装 simulator 包或配置 pythonpath，CI 从根执行。,S,无,OPEN,否,否
TEST-002,测试,前端/覆盖率,P2,无 npm test、lint，后端未安装 pytest-cov,只能证明类型检查和构建，无法证明交互。,回归风险高，关键 UI 与 WebSocket 无自动测试。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/frontend_test_attempt.txt; evidence/tests/frontend_lint_attempt.txt; evidence/tests/backend_coverage_attempt.txt,desktop/package.json; backend/pyproject.toml,实现停留在演示/最小闭环，缺少生产约束。,添加 Vitest、ESLint、Playwright/Electron E2E 和覆盖率门槛。,M,无,OPEN,否,否
DEPLOY-002,依赖,npm,P2,npm audit 报 2 high + 2 moderate,Electron 31、Vite/esbuild/ECharts 依赖链有已知问题。,扩大桌面端攻击面。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/npm_audit.json,desktop/package.json,实现停留在演示/最小闭环，缺少生产约束。,升级受支持 Electron/Vite/ECharts，验证兼容并纳入依赖扫描。,M,无,OPEN,否,否
REPORT-002,报告/UI,预览,P2,预览面板不读取真实 DOCX/PDF,任意行均显示固定 12 页模板元数据。,无法核对生成文件，JSON/CSV tab 也不是真实内容。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/screenshots/current/09_report_management_1920x1080.png,backend/app/api/reports.py:125-145; desktop/src/pages/ReportManagementPage.vue,实现停留在演示/最小闭环，缺少生产约束。,提供安全的 PDF 渲染/文本摘要 endpoint，并按真实文件类型预览。,M,无,OPEN,否,否
UI-005,UI,视觉还原,P3,10 页像素差异仍为 28.7%~40.0% 像素超过阈值 10,报告、一键检测和总览的比例/密度偏差最明显。,影响视觉一致性但不直接改变业务。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/screenshots/diff/visual_diff_metrics.csv,desktop/src/pages/*.vue,实现停留在演示/最小闭环，缺少生产约束。,按参考图逐页校准网格、字号、卡片高度和图表比例。,L,无,OPEN,否,否
UI-006,UI,ECharts,P3,控制台出现 2 条容器宽高为 0 的初始化警告,图表在首次布局时初始化早于容器尺寸。,偶发空图或首次 resize 闪烁。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/screenshots/current/browser_console_warnings.json,desktop/src/components/charts/*.vue,实现停留在演示/最小闭环，缺少生产约束。,使用 ResizeObserver 和非零尺寸后 init。,S,无,OPEN,否,否
PERF-003,性能,前端包,P3,"主 JS 1,394.53kB，Vite 报 >500kB",11 页全部同步导入且 ECharts 未拆包。,首屏和升级包体积偏大。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/frontend_build.txt,desktop/src/router/index.ts; desktop/vite.config.ts,实现停留在演示/最小闭环，缺少生产约束。,路由懒加载并拆分 ECharts/vendor。,S,无,OPEN,否,否
TEST-003,测试,根脚本,P3,根 npm test 依赖系统 PATH pytest，当前环境失败,新环境无法一键测试。,影响审计/CI 可复现性。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/tests/root_npm_test.txt,package.json,实现停留在演示/最小闭环，缺少生产约束。,显式调用 backend/.venv 或统一 uv run。,S,无,OPEN,否,否
DEPLOY-003,部署,运维,P3,Linux、离线安装、自启动、崩溃恢复、升级回滚未验证,当前只有 Windows 开发运行证据。,部署风险未知。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/commands/os_version.txt,docs/17_deployment_plan.md; desktop/package.json,实现停留在演示/最小闭环，缺少生产约束。,建立 Windows 工控机安装/升级演练和 Linux 后端 CI。,L,无,OPEN,否,否
API-006,API,OpenAPI,P3,大量接口没有明确 response model，路径参数命名与规范不一致,OpenAPI 112 路由可枚举，但契约约束弱。,客户端类型和错误契约易漂移。,按证据文件中的命令或脚本执行并对比记录字段。,evidence/api/api_spec_comparison.json,backend/app/api/*.py,实现停留在演示/最小闭环，缺少生产约束。,为公共 API 添加 request/response Pydantic 模型并做契约测试。,M,无,OPEN,否,否
